com.spotify.music
com.soundcloud.android
com.audiomack
com.dywx.larkplayer
com.mxtech.videoplayer.ad
video.player.videoplayer
com.opera.mini.native
com.opera.browser
com.opera.touch
com.mi.globalbrowser.mini
com.transsion.phoenix
com.UCMobile.intl
com.ucturbo
com.uc.browser.en
com.duckduckgo.mobile.android
com.cloudmosa.puffinFree
org.mozilla.focus
org.torproject.torbrowser
org.torproject.android
org.torproject.torbrowser_alpha
free.vpn.unblock.proxy.turbovpn
com.fast.free.unblock.thunder.vpn
free.vpn.unblock.proxy.vpn.master.pro
com.findtheway
me.skyvpn.app
me.highvpn.app
com.in.troiddns
de.resolution.yf_android
com.psiphon3.subscription
com.fast.free.unblock.secure.vpn
com.evozi.injector
com.tlsvpn.tlstunnel
org.getlantern.lantern
com.evozi.injector.lite
com.ehawk.proxy.freevpn
com.udicorn.proxybrowser.unblockwebsites
com.udicorn.proxy
net.upx.proxy.browser
com.aloha.browser
